scenario,route,case,bg_db,method,score,solver,tech_shape,n_activities,n_products,error
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",-3.5327371869958086,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-42.8432306320607,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-11.9176876441406,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.010532051996683897,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.0016149104878684642,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-45.83928644075378,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-52.56090279378753,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-0.1062686537868954,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.8919969774755511,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-0.983725618115246,standard,"(107090, 107090)",107090,107090,
