scenario,case,bg_db,method_0,method_1,method_2,method,score,solver,tech_shape,n_activities,n_products,error
SSP2M_2050,prep_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: carcinogenic,human toxicity potential (HTPc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",2.3773364137525665,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,prep_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: non-carcinogenic,human toxicity potential (HTPnc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-27.69647036645812,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,prep_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ionising radiation,ionising radiation potential (IRP),"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-0.02273638464169721,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,prep_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",land use,agricultural land occupation (LOP),"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.2451486783522659,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,prep_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",material resources: metals/minerals,surplus ore potential (SOP),"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",0.10664131586078304,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,prep_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ozone depletion,ozone depletion potential (ODPinfinite),"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-1.0277561034742659e-06,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,prep_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",particulate matter formation,particulate matter formation potential (PMFP),"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.009676209821818582,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,prep_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: human health,photochemical oxidant formation potential: humans (HOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.007961867139637835,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,prep_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: terrestrial ecosystems,photochemical oxidant formation potential: ecosystems (EOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.008199896827863512,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,prep_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",water use,water consumption potential (WCP),"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-0.007128151233894604,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP100),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.9667559245641841,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",acidification: terrestrial,terrestrial acidification potential (TAP),"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.03711018948639816,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP1000),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",7.781762345873879,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",43.92149403557726,standard,"(107090, 107090)",107090,107090,
