tag,unc_layer,iteration,scenario_id,case,method,score,f_Al,X_Al,L,f_makeup,Y_prep,R_PSA,E_aux,E_therm,der_prepared_mass_per_kg_gate,der_al_feed_kg_per_kg_gate,der_al_reacted_kg_per_kg_gate,der_h2_crude_kg_per_kg_gate,der_h2_usable_kg_per_kg_gate,der_aloh3_kg_per_kg_gate,der_electrolyte_makeup_kg_per_kg_gate,der_purge_m3_per_kg_gate,der_stoich_makeup_water_kg_per_kg_gate,der_elec_total_kwh_per_kg_gate
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.8035671009759,0.9638957186760881,0.9309088293390615,143.33835203803696,0.15512202283843218,0.7688505823094349,0.9349333515786125,0.15158093810564793,0.09395129975656638,0.7688505823094349,0.7410917845896816,0.6898888856251765,0.0773158213395104,0.07228513997500166,1.9944680574368294,16.478127747180938,0.016478127747180937,1.3818939320408503,0.18877760405610217
prospect_hydrolysis_fgonly_fgonly,fgonly,9,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.9500413146583526,0.9716333723843378,0.9360090627653714,155.03220146512908,0.21628548797425573,0.8663047877330726,0.9609482009253489,0.19710124886758115,0.03722188380482569,0.8663047877330726,0.8417306424177833,0.7878675097103633,0.08829628203789755,0.08484815337271485,2.2777241587036747,28.224251433908133,0.028224251433908134,1.5781517192210792,0.20299525171071803
prospect_hydrolysis_fgonly_fgonly,fgonly,10,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",5.053369246877201,0.9850572167627766,0.9236892616396911,162.22677028063282,0.21697384933027047,0.9220472062044476,0.9793068040072139,0.11133607392417745,0.04655043091600661,0.9220472062044476,0.9082692546676471,0.8389585572139915,0.09402205380077981,0.092076437013836,2.4254283243891863,31.970139351593975,0.03197013935159398,1.6804905305832811,0.14557881068527673
prospect_hydrolysis_fgonly_fgonly,fgonly,10,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.7960851179298336,0.9850572167627766,0.9236892616396911,162.22677028063282,0.21697384933027047,0.9220472062044476,0.9793068040072139,0.11133607392417745,0.04655043091600661,0.9220472062044476,0.9082692546676471,0.8389585572139915,0.09402205380077981,0.092076437013836,2.4254283243891863,31.970139351593975,0.03197013935159398,1.6804905305832811,0.14557881068527673
prospect_hydrolysis_fgonly_fgonly,fgonly,10,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",1.2572841289473655,0.9850572167627766,0.9236892616396911,162.22677028063282,0.21697384933027047,0.9220472062044476,0.9793068040072139,0.11133607392417745,0.04655043091600661,0.9220472062044476,0.9082692546676471,0.8389585572139915,0.09402205380077981,0.092076437013836,2.4254283243891863,31.970139351593975,0.03197013935159398,1.6804905305832811,0.14557881068527673
prospect_hydrolysis_fgonly_fgonly,fgonly,11,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",4.840665629389921,0.946771652292755,0.978605080009606,240.63087816138196,0.16400509881358044,0.8257971534894163,0.953769181312764,0.10565296059666171,0.03821136814536545,0.8257971534894163,0.7818413354678284,0.7651139026503114,0.08574628615458918,0.08178216514627251,2.211943504139834,30.85512667652971,0.03085512667652971,1.5325747108310486,0.11880275316383164
prospect_hydrolysis_fgonly_fgonly,fgonly,11,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.446587649120035,0.946771652292755,0.978605080009606,240.63087816138196,0.16400509881358044,0.8257971534894163,0.953769181312764,0.10565296059666171,0.03821136814536545,0.8257971534894163,0.7818413354678284,0.7651139026503114,0.08574628615458918,0.08178216514627251,2.211943504139834,30.85512667652971,0.03085512667652971,1.5325747108310486,0.11880275316383164
prospect_hydrolysis_fgonly_fgonly,fgonly,11,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",1.394077980269886,0.946771652292755,0.978605080009606,240.63087816138196,0.16400509881358044,0.8257971534894163,0.953769181312764,0.10565296059666171,0.03821136814536545,0.8257971534894163,0.7818413354678284,0.7651139026503114,0.08574628615458918,0.08178216514627251,2.211943504139834,30.85512667652971,0.03085512667652971,1.5325747108310486,0.11880275316383164
prospect_hydrolysis_fgonly_fgonly,fgonly,12,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",3.5798767110003022,0.9912660767146757,0.969537856795674,114.87534506161089,0.2234830951090166,0.844175978622197,0.9749900567438071,0.1340025965010853,0.022247753318389307,0.844175978622197,0.8368030103855971,0.8113121972494199,0.09092372728437043,0.08864973002434677,2.345502726220184,21.482990691699293,0.021482990691699292,1.6251130083849958,0.1319027919689156
prospect_hydrolysis_fgonly_fgonly,fgonly,12,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.6682371944201533,0.9912660767146757,0.969537856795674,114.87534506161089,0.2234830951090166,0.844175978622197,0.9749900567438071,0.1340025965010853,0.022247753318389307,0.844175978622197,0.8368030103855971,0.8113121972494199,0.09092372728437043,0.08864973002434677,2.345502726220184,21.482990691699293,0.021482990691699292,1.6251130083849958,0.1319027919689156
prospect_hydrolysis_fgonly_fgonly,fgonly,12,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-0.08836048341984526,0.9912660767146757,0.969537856795674,114.87534506161089,0.2234830951090166,0.844175978622197,0.9749900567438071,0.1340025965010853,0.022247753318389307,0.844175978622197,0.8368030103855971,0.8113121972494199,0.09092372728437043,0.08864973002434677,2.345502726220184,21.482990691699293,0.021482990691699292,1.6251130083849958,0.1319027919689156
