tag,route,case,method,score
contemp__external_staged,reuse,stageD_model,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-8.670683903737786e-06
contemp__external_staged,reuse,stageD_model,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.07575285155671957
contemp__external_staged,reuse,stageD_model,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.08208838473607892
contemp__external_staged,reuse,stageD_model,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.0866640335409882
contemp__external_staged,reuse,stageD_model,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-1.1450997140771881
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-30.209914553493256
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.19193376499013914
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",-1.847211529122141
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",-2.6033126061868073
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-29.77149545790962
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-6.048218312224741
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.007225207152341388
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.0006510730778537558
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-45.25648810126783
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-38.69525301016936
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",0.19585703759177753
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.5135122563622598
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-0.9246767309360895
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-7.372788331566972e-06
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.06884566207437277
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.07410385069188782
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.07818365519988717
contemp__external_staged,reuse,stageD_ingot_only,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-1.1227823785415778
