tag,iteration,case,method,score
contemp_hydrolysis_uncertainty,26,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-9.447554544549881
contemp_hydrolysis_uncertainty,26,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",19.986894820300403
contemp_hydrolysis_uncertainty,27,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",27.883102316747678
contemp_hydrolysis_uncertainty,27,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.56958848255184
contemp_hydrolysis_uncertainty,27,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",17.31351383419586
contemp_hydrolysis_uncertainty,28,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",23.844071544536007
contemp_hydrolysis_uncertainty,28,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.63916920546753
contemp_hydrolysis_uncertainty,28,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",13.20490233906843
contemp_hydrolysis_uncertainty,29,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",41.5175619429056
contemp_hydrolysis_uncertainty,29,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.416203216330775
contemp_hydrolysis_uncertainty,29,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",31.101358726574876
contemp_hydrolysis_uncertainty,30,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",16.144402641451006
contemp_hydrolysis_uncertainty,30,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.632462913057317
contemp_hydrolysis_uncertainty,30,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",5.511939728393759
contemp_hydrolysis_uncertainty,31,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",14.141063066912874
contemp_hydrolysis_uncertainty,31,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-9.488723835941993
contemp_hydrolysis_uncertainty,31,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",4.652339230970861
contemp_hydrolysis_uncertainty,32,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-7.189769387491917
contemp_hydrolysis_uncertainty,32,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.414119359377203
contemp_hydrolysis_uncertainty,32,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-17.603888746869085
contemp_hydrolysis_uncertainty,33,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",21.738713121473225
contemp_hydrolysis_uncertainty,33,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-9.922756156917298
contemp_hydrolysis_uncertainty,33,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",11.815956964555948
contemp_hydrolysis_uncertainty,34,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",18.872831803815206
contemp_hydrolysis_uncertainty,34,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.19197197945399
contemp_hydrolysis_uncertainty,34,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",7.680859824361217
contemp_hydrolysis_uncertainty,35,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",32.27239067727632
contemp_hydrolysis_uncertainty,35,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-13.168717601880202
