exchange_type,amount,unit,input_key,input_name,input_location,uncertainty_type,loc,scale,minimum,maximum,comment
biosphere,6.80714e-10,kilogram,"('ecoinvent-3.10-biosphere', '2718482b-8399-442e-b89a-52fbcc22d2e6')",Lead II,,2,-21.107878868622823,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.63637e-08,kilogram,"('ecoinvent-3.10-biosphere', '0437e787-ef47-4a50-b11f-df7c743e860c')",Magnesium,,2,-17.451277772974073,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,4.00411e-09,kilogram,"('ecoinvent-3.10-biosphere', '2460f868-54a9-404c-bec8-c809a44ae72c')",Manganese II,,2,-19.335944503343327,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,6.1619e-10,kilogram,"('ecoinvent-3.10-biosphere', '5ec9c16a-959d-44cd-be7d-a935727d2151')",Mercury II,,2,-21.207465758394907,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,0.013127119047619,kilogram,"('ecoinvent-3.10-biosphere', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","Methane, fossil",,2,-4.333075032289138,0.4312771730569565,,,"Methane emissions are a sum of emissions from uncontrolled coal fires and fugitive emissions from mining, processing, storage and transportation of coal.
CH4 emissions from uncontrolled fires: 
These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010) (average carbon content of 0.635). Mind that actual combustion conditions for coal burning in uncontrolled fires are likely to result in incomplete combustion, which would cause lower CO2 emissions than assumed here, while CO and CH4 emissions would likely be higher. (For more details see “general comment”-field of this dataset.)
Fugitive CH4 emissions:
These emissions are calculated based on the average emission factors for mine operation and post-mining activities of underground and surface coal mines suggested by the 2006 IPCC Guidelines for National Greenhouse Gas Inventories (Chapter 4.1 Fugitive emissions from mining, processing, storage and transportation of coal, p. 4.11 ff., accessible at <https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf>, July 2018).
Average CH4 emission factors according to IPCC 2006 are:
underground coal production = 18m3/tonne = 12.06 kg/tonne
post-mining emissions, underground mines = 2.5m3/tonne = 1.675 kg/tonne
surface coal production = 1.2m3/tonne = 0.804 kg/tonne
post mining emissions, surface mines = 0.1m3/tonne =0.067 kg/tonne
Ch4 density at 20 degrees Celsius and 1 bar is 0.67kg/m3.
The applied share of coal from underground and surface mines in China is 95 % and 5 %, respectively (Bian et al., 2010).
Under this approach the calculated CH4 emissions in China amount to 0.013 kg CH4/kg coal. Uncertainty of this value is high. Nonetheless, this approach was considered preferable by industry experts over the estimated fugitive CH4 emissions from soild fuels in China in2012, published in the UNFCCC database for “Greenhouse Gas Inventory Data - Detailed data by Party” (This source reports a total of 23847000 tonnes fugitive CH4 emissions from solid fuels in 2012. This would result in specific fugitive methane emission of 0.0065kg CH4/kg coal considering 2012 production volume (VDKi, 2017)). The reasons for this choice is mostly that no documentation is available for the UNFCCC 2012 value, which does not allow to evaluate underlying assumptions and uncertainties.
Reference(s):
Zhengfu BIAN, Hilary I INYANG, John L DANIELS, Frank OTTO, Sue STRUTHERS, 2010, Environmental issues from coal mining and their solutions, Mining Science and Technology (China), Volume 20, Issue 2, Pages 215-223, ISSN 1674-5264, <https://doi.org/10.1016/S1674-5264(09)60187-3>.
IPCC, 2006, IPCC Guidelines for National Greenhouse Gas Inventories, Chapter 4.1 Fugitive emissions from mining, processing, storage and transportation of coal, p. 4.11 ff., accessible at <https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf>, July 2018
UNFCCC, 2018, Greenhouse Gas Inventory Data - Detailed data by Party, data retrieved online from <http://di.unfccc.int/detailed_data_by_party> on 19.07.2018, Party: China, Inventory: All years, Category: 1.B Fugitive Emissions from Fuels, Gas: CH4, 1.B1 Solid Fuels in Last Reported year (2012): 23,847.00 Gg
Verein der Kohleimporteure (VDKi). 2017. Jahresbericht 2017. Accessed online at: http://www.kohlenimporteure.de/publikationen/jahresbericht-2017.html, 28.11.2016
"
biosphere,6.32738e-11,kilogram,"('ecoinvent-3.10-biosphere', '5fa36ce3-aed0-443b-a09d-4cdf25b41995')",Molybdenum VI,,2,-23.48354977451323,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.08e-10,kilogram,"('ecoinvent-3.10-biosphere', 'e8fc62ba-678e-4706-97d2-b79d83e227d5')",Nickel II,,2,-22.948889888804327,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,7.66845e-05,kilogram,"('ecoinvent-3.10-biosphere', '77357947-ccc5-438e-9996-95e65e1e1bce')",Nitrogen oxides,,2,-9.475810956062745,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.0494e-06,kilogram,"('ecoinvent-3.10-biosphere', '13d898ac-b9be-4723-a153-565e2a9144ac')","PAH, polycyclic aromatic hydrocarbons",,2,-13.097963490580794,0.714142842854285,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.87845e-06,kilogram,"('ecoinvent-3.10-biosphere', '66f50b33-fd62-4fdd-a373-c5b0de7de00d')","Particulate Matter, < 2.5 um",,2,-12.758258603139478,0.714142842854285,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,0.000110107,kilogram,"('ecoinvent-3.10-biosphere', '7678cec7-b8e1-439d-8242-99cd452834b1')","Particulate Matter, > 10 um",,2,-9.11405793769173,0.8185352771872451,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,1.54994e-06,kilogram,"('ecoinvent-3.10-biosphere', '295c9740-6fdb-4676-9eb8-15e3786f713d')","Particulate Matter, > 2.5 um and < 10um",,2,-13.377294337459777,0.5744562646538028,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
