from_key,from_db,from_code,from_name,from_location,to_key,to_db,to_code,to_name,to_location,amount,unit,uncertainty_type,loc,scale,minimum,maximum,comment
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '57c28e6065cb6810c9fafbabb5917bf2')",ecoinvent_3.10.1.1_consequential_unitprocess,57c28e6065cb6810c9fafbabb5917bf2,"market for waste plastic, mixture",BR,-9.32849330882677e-05,kilogram,2,-9.407551952023438,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'a38eb8d305505586345b01a4681821d5')",ecoinvent_3.10.1.1_consequential_unitprocess,a38eb8d305505586345b01a4681821d5,"market group for waste plastic, mixture",Europe without Switzerland,-7.948309851542268e-05,kilogram,2,-9.567666156196276,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '74863e68a5036e266bd7fc1d38a74f3f')",ecoinvent_3.10.1.1_consequential_unitprocess,74863e68a5036e266bd7fc1d38a74f3f,market for waste graphical paper,IN,-7.588894158236331e-05,kilogram,2,-9.613939581379624,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '6e9763fde4b99a8fca92c4065e8c10e2')",ecoinvent_3.10.1.1_consequential_unitprocess,6e9763fde4b99a8fca92c4065e8c10e2,"market for copper scrap, sorted, pressed",GLO,-7.20706449641712e-05,kilogram,2,-9.710563739932805,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '2d55db9afaed4f594942d056e8a533ce')",ecoinvent_3.10.1.1_consequential_unitprocess,2d55db9afaed4f594942d056e8a533ce,"market for aluminium scrap, post-consumer, prepared for melting",GLO,-5.97427714670613e-05,kilogram,2,-9.898162354102054,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'e6041d97692d3604e003324f45d2c1c1')",ecoinvent_3.10.1.1_consequential_unitprocess,e6041d97692d3604e003324f45d2c1c1,market for waste polyethylene/polypropylene product,Europe without Switzerland,-5.2040356305487586e-05,kilogram,2,-10.036191057581542,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'd57019cc8ffea3fb65586afec7054931')",ecoinvent_3.10.1.1_consequential_unitprocess,d57019cc8ffea3fb65586afec7054931,market for waste mineral wool,RoW,-3.631590987512433e-05,kilogram,2,-10.395954624142933,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b0f38db991dce7e4973a559fa3c71bac')",ecoinvent_3.10.1.1_consequential_unitprocess,b0f38db991dce7e4973a559fa3c71bac,"market for waste rubber, unspecified",RoW,-3.3751128398136486e-05,kilogram,2,-10.469196707185782,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '6aaed48b406d2db73b4a178af0f0e593')",ecoinvent_3.10.1.1_consequential_unitprocess,6aaed48b406d2db73b4a178af0f0e593,market for waste bitumen,RoW,-2.934093388539347e-05,kilogram,2,-10.609226955987983,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b57bf7dda8eb2f4529c9f8a4f4ae9fc4')",ecoinvent_3.10.1.1_consequential_unitprocess,b57bf7dda8eb2f4529c9f8a4f4ae9fc4,"market for waste rubber, unspecified",Europe without Switzerland,-2.1250153281929604e-05,kilogram,2,-10.931846449352589,0.5877074101966046,,,
