from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,uncertainty_type,loc,scale,minimum,maximum
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'fd6782770c164f4ebb96503d105fc7c1')",prospective_conseq_IMAGE_SSP2M_2050_PERF,fd6782770c164f4ebb96503d105fc7c1,market for waste polyethylene/polypropylene product,-0.00019433177658356726,kilogram,2,-8.545943260192871,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '0ba0e5ebfc8a4b138062b27eae09da55')",prospective_conseq_IMAGE_SSP2M_2050_PERF,0ba0e5ebfc8a4b138062b27eae09da55,market for waste reinforced concrete,-0.1416974812746048,kilogram,2,-1.9540609121322632,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd4d8f082970a44eaa63135c5807681ea')",prospective_conseq_IMAGE_SSP2M_2050_PERF,d4d8f082970a44eaa63135c5807681ea,market for waste reinforcement steel,-0.004901368170976639,kilogram,2,-5.318241119384766,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '388201307d5244328e2a0ff85a6d034d')",prospective_conseq_IMAGE_SSP2M_2050_PERF,388201307d5244328e2a0ff85a6d034d,"market for waste rubber, unspecified",-5.809919093735516e-05,kilogram,2,-9.753358840942383,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP2M_2050')",al_scrap_postconsumer_CA_gate__SSP2M_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP2M_2050]","('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7471eca84a9e4b29aa52321068f7375e')",prospective_conseq_IMAGE_SSP2M_2050_PERF,7471eca84a9e4b29aa52321068f7375e,"market for hazardous waste, for underground deposit",-0.005280000157654285,kilogram,2,-5.243829250335693,0.09591662883758545,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP2M_2050')",al_scrap_postconsumer_CA_gate__SSP2M_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP2M_2050]","('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4ef21eae86be406dbbbe9b48f5842cad')",prospective_conseq_IMAGE_SSP2M_2050_PERF,4ef21eae86be406dbbbe9b48f5842cad,"market for inert waste, for final disposal",-0.01283199992030859,kilogram,2,-4.355813026428223,0.09591662883758545,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP2M_2050')",al_scrap_postconsumer_CA_gate__SSP2M_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP2M_2050]","('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'a71857e2d7b445fe8dc6314f856bb248')",prospective_conseq_IMAGE_SSP2M_2050_PERF,a71857e2d7b445fe8dc6314f856bb248,"market for iron scrap, unsorted",-0.0272000003606081,kilogram,2,-3.6045382022857666,0.09591662883758545,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP2M_2050')",al_scrap_postconsumer_CA_gate__SSP2M_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP2M_2050]","('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e9abf5be07a744f4bbd9c642ecd279a2')",prospective_conseq_IMAGE_SSP2M_2050_PERF,e9abf5be07a744f4bbd9c642ecd279a2,market group for municipal solid waste,-0.0012880000285804272,kilogram,2,-6.654664516448975,0.09591662883758545,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP2M_2050')",al_scrap_postconsumer_CA_gate__SSP2M_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP2M_2050]","('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'bf81cb834bce47cfb9b5138dbdcffa4a')",prospective_conseq_IMAGE_SSP2M_2050_PERF,bf81cb834bce47cfb9b5138dbdcffa4a,market for scrap copper,-0.004122997634112835,kilogram,2,-5.491174697875977,0.09591662883758545,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP2M_2050')",al_scrap_postconsumer_CA_gate__SSP2M_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP2M_2050]","('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'b01aca5a335348d1b1c9567c6234f6b3')",prospective_conseq_IMAGE_SSP2M_2050_PERF,b01aca5a335348d1b1c9567c6234f6b3,market for scrap copper,-0.08787700533866882,kilogram,2,-2.431817054748535,0.09591662883758545,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP2M_2050')",al_scrap_postconsumer_CA_gate__SSP2M_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP2M_2050]","('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e148d78291304287836c37e7f4576569')",prospective_conseq_IMAGE_SSP2M_2050_PERF,e148d78291304287836c37e7f4576569,market for waste mineral oil,-2.415796734567266e-05,kilogram,2,-10.63089656829834,0.09591662883758545,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP2M_2050')",al_scrap_postconsumer_CA_gate__SSP2M_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP2M_2050]","('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e87fc01b9fa0498da01573f7cbe4d8f9')",prospective_conseq_IMAGE_SSP2M_2050_PERF,e87fc01b9fa0498da01573f7cbe4d8f9,market for waste mineral oil,-0.0009758420055732131,kilogram,2,-6.9322099685668945,0.09591662883758545,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP2M_2050')",al_scrap_postconsumer_CA_gate__SSP2M_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP2M_2050]","('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'efbe8aa6a1ef4575a1aacad2c064cdbe')",prospective_conseq_IMAGE_SSP2M_2050_PERF,efbe8aa6a1ef4575a1aacad2c064cdbe,"market for waste rubber, unspecified",-0.03608515113592148,kilogram,2,-3.321873903274536,0.09591662883758545,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP2M_2050')",al_scrap_postconsumer_CA_gate__SSP2M_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP2M_2050]","('prospective_conseq_IMAGE_SSP2M_2050_PERF', '388201307d5244328e2a0ff85a6d034d')",prospective_conseq_IMAGE_SSP2M_2050_PERF,388201307d5244328e2a0ff85a6d034d,"market for waste rubber, unspecified",-0.0015148480888456106,kilogram,2,-6.492440223693848,0.09591662883758545,,
