case,method,score
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | photochemical oxidant formation: terrestrial ecosystems",2.0941609619365338e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | water use: aquatic ecosystems",2.2089054873609434e-15
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | water use: terrestrial ecosystems",4.937124537903181e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | human health | climate change: human health",1.7350918003978328e-06
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | human health | human toxicity: carcinogenic",1.192796881259994e-07
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | human health | human toxicity: non-carcinogenic",9.725280828348295e-07
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | human health | ionising radiation",-6.245480170230329e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | human health | ozone depletion",3.2340089362818644e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | human health | particulate matter formation",-2.9700748761282463e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | human health | photochemical oxidant formation: human health",1.4088889306418248e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | human health | water use: human health",8.118824456845236e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | natural resources | energy resources: non-renewable, fossil",0.043268399268060496
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | natural resources | material resources: metals/minerals",-0.0006633661794096455
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | total: ecosystem quality | ecosystem quality",5.996540387887652e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | total: human health | human health",2.809880494355436e-06
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | total: natural resources | natural resources",0.04260503313802209
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | acidification: terrestrial no LT",3.18370108658391e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | climate change: freshwater ecosystems no LT",2.859635830567311e-14
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | climate change: terrestrial ecosystems no LT",1.0488627072683364e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | ecotoxicity: freshwater no LT",5.453822648224427e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | ecotoxicity: marine no LT",7.645754016576593e-14
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | ecotoxicity: terrestrial no LT",1.5719865590119342e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | eutrophication: freshwater no LT",-2.5402753249723737e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | eutrophication: marine no LT",6.91486078709269e-14
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | land use no LT",-6.780467526105645e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | photochemical oxidant formation: terrestrial ecosystems no LT",2.094946443686069e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | ecosystem quality no LT | water use: aquatic ecosystems no LT",2.2089054873609434e-15
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | human health no LT | climate change: human health no LT",1.6014558067172232e-07
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | human health no LT | human toxicity: carcinogenic no LT",3.8461751383403754e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | human health no LT | human toxicity: non-carcinogenic no LT",8.296266409254297e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | human health no LT | ionising radiation no LT",-3.735285690580279e-12
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | human health no LT | ozone depletion no LT",9.206718256739779e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | human health no LT | particulate matter formation no LT",-1.0114126836834159e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | human health no LT | photochemical oxidant formation: human health no LT",1.4092086949284677e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | human health no LT | water use: human health no LT",1.1337096261355103e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | natural resources no LT | energy resources: non-renewable, fossil no LT",0.043268399268060496
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | natural resources no LT | material resources: metals/minerals no LT",-0.0003961609026374617
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | total: ecosystem quality no LT | ecosystem quality no LT",6.030596101349629e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | total: human health no LT | human health no LT",1.7231464541833996e-07
c3c4,"ReCiPe 2016 v1.03, endpoint (I) no LT | total: natural resources no LT | natural resources no LT",0.04287223836542303
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | acidification: terrestrial",3.184250601032451e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | climate change: freshwater ecosystems",2.859635978262925e-14
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | climate change: terrestrial ecosystems",1.0488627612562867e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | ecotoxicity: freshwater",1.244394766667545e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | ecotoxicity: marine",5.421900865554292e-12
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | ecotoxicity: terrestrial",1.571900036310536e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | eutrophication: freshwater",9.97035175063423e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | eutrophication: marine",1.4199284346648842e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | land use",-6.780467526105645e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | photochemical oxidant formation: terrestrial ecosystems",2.095034456974857e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | ecosystem quality | water use: aquatic ecosystems",2.2089054873609434e-15
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | human health | climate change: human health",1.6014558892416602e-07
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | human health | human toxicity: carcinogenic",8.6273418511598e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | human health | human toxicity: non-carcinogenic",1.186781673779638e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | human health | ionising radiation",-4.83462396214596e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | human health | ozone depletion",9.2067246581681e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | human health | particulate matter formation",-8.970977438641035e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | human health | photochemical oxidant formation: human health",1.4092707190270914e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | human health | water use: human health",1.1337096261355103e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | natural resources | energy resources: non-renewable, fossil",0.043268399268060496
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | natural resources | material resources: metals/minerals",-0.0003961609026374617
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | total: ecosystem quality | ecosystem quality",1.7548234015224344e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | total: human health | human health",1.7746292179354868e-07
c3c4,"ReCiPe 2016 v1.03, endpoint (I) | total: natural resources | natural resources",0.04287223836542303
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | climate change: freshwater ecosystems no LT",-1.5537599238920605e-13
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | acidification: terrestrial no LT",-2.509279503971221e-09
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | climate change: freshwater ecosystems no LT",-1.2420480146746378e-12
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | climate change: terrestrial ecosystems no LT",-4.552727131681591e-08
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: freshwater no LT",-1.921462836359858e-12
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: marine no LT",-2.6891189125854273e-09
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: terrestrial no LT",-6.737844067954223e-11
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | eutrophication: freshwater no LT",-1.5173708317877457e-11
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | eutrophication: marine no LT",-1.4805771445975703e-14
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | land use no LT",-9.571094547845066e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | photochemical oxidant formation: terrestrial ecosystems no LT",-9.454349258766988e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | water use: aquatic ecosystems no LT",7.28369327680804e-15
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | water use: terrestrial ecosystems no LT",1.6279797350447376e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | climate change: human health no LT",-2.27631107701333e-05
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | human toxicity: carcinogenic no LT",-1.034863996994903e-05
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | human toxicity: non-carcinogenic no LT",-4.122216151760233e-06
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | ionising radiation no LT",2.651758862006474e-11
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | ozone depletion no LT",-7.570356820694531e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | particulate matter formation no LT",-3.0112104514561094e-06
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | photochemical oxidant formation: human health no LT",-6.552800196986851e-09
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | water use: human health no LT",2.6771206889174274e-08
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | natural resources no LT | energy resources: non-renewable, fossil no LT",-0.12392572301754409
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | natural resources no LT | material resources: metals/minerals no LT",-0.04630387080392929
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | total: ecosystem quality no LT | ecosystem quality no LT",-5.271376065152993e-08
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | total: human health no LT | human health no LT",-4.022560102028593e-05
staged_total,"ReCiPe 2016 v1.03, endpoint (E) no LT | total: natural resources no LT | natural resources no LT",-0.1702295936586754
