tag,unc_layer,iteration,scenario_id,case,method,score,fu_scrap_kg,scrap_per_billet,fu_billet_kg,f_transition,pass_share
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,21,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-32.92835148821942,3.67,1.050420168067227,3.4938399999999996,0.16629874000381428,0.9849676944794142
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,22,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.58972374813639,3.67,1.050420168067227,3.4938399999999996,0.08448859942756425,0.9671352112457916
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,22,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-39.37837270225356,3.67,1.050420168067227,3.4938399999999996,0.08448859942756425,0.9671352112457916
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,22,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-32.788648954117164,3.67,1.050420168067227,3.4938399999999996,0.08448859942756425,0.9671352112457916
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,23,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",7.157793021118097,3.67,1.050420168067227,3.4938399999999996,0.1637448911642578,0.9633253319811261
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,23,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-39.22324770639975,3.67,1.050420168067227,3.4938399999999996,0.1637448911642578,0.9633253319811261
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,23,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-32.06545468528165,3.67,1.050420168067227,3.4938399999999996,0.1637448911642578,0.9633253319811261
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,24,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.017377494436264,3.67,1.050420168067227,3.4938399999999996,0.004635585434564682,0.9923120955382853
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,24,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-40.403487620646615,3.67,1.050420168067227,3.4938399999999996,0.004635585434564682,0.9923120955382853
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,24,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-34.38611012621041,3.67,1.050420168067227,3.4938399999999996,0.004635585434564682,0.9923120955382853
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,25,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.775471495709979,3.67,1.050420168067227,3.4938399999999996,0.11040388746005457,0.9539246110656728
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,25,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-38.840483137832585,3.67,1.050420168067227,3.4938399999999996,0.11040388746005457,0.9539246110656728
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,25,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-32.065011642122585,3.67,1.050420168067227,3.4938399999999996,0.11040388746005457,0.9539246110656728
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,26,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.020455042538177,3.67,1.050420168067227,3.4938399999999996,0.00506496111008082,0.9297206713343964
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,26,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-37.854983128611195,3.67,1.050420168067227,3.4938399999999996,0.00506496111008082,0.9297206713343964
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,26,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-31.834528086073025,3.67,1.050420168067227,3.4938399999999996,0.00506496111008082,0.9297206713343964
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,27,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",7.820748702918549,3.67,1.050420168067227,3.4938399999999996,0.25623963056184634,0.9701420546689383
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,27,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-39.50080087940728,3.67,1.050420168067227,3.4938399999999996,0.25623963056184634,0.9701420546689383
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,27,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-31.68005217648872,3.67,1.050420168067227,3.4938399999999996,0.25623963056184634,0.9701420546689383
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,28,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.702938582877899,3.67,1.050420168067227,3.4938399999999996,0.10028419040950433,0.9404586391879801
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,28,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-38.29219572855217,3.67,1.050420168067227,3.4938399999999996,0.10028419040950433,0.9404586391879801
