tag,iteration,route,case,method,score
contemp_al_base_routes_uncertainty_rewire_embedded,6,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-48.1467715760079
contemp_al_base_routes_uncertainty_rewire_embedded,6,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.1240201815765951
contemp_al_base_routes_uncertainty_rewire_embedded,6,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.1240201815765951
contemp_al_base_routes_uncertainty_rewire_embedded,7,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.01138385609631648
contemp_al_base_routes_uncertainty_rewire_embedded,7,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-54.552116316687844
contemp_al_base_routes_uncertainty_rewire_embedded,7,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-54.540732460591464
contemp_al_base_routes_uncertainty_rewire_embedded,7,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-54.540732460591464
contemp_al_base_routes_uncertainty_rewire_embedded,7,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.2599199049747885
contemp_al_base_routes_uncertainty_rewire_embedded,7,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-47.97418245975663
contemp_al_base_routes_uncertainty_rewire_embedded,7,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10556507276994179
contemp_al_base_routes_uncertainty_rewire_embedded,7,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10556507276994179
contemp_al_base_routes_uncertainty_rewire_embedded,8,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.014531592882016976
contemp_al_base_routes_uncertainty_rewire_embedded,8,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-52.08130178634467
contemp_al_base_routes_uncertainty_rewire_embedded,8,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-52.06677019346265
contemp_al_base_routes_uncertainty_rewire_embedded,8,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-52.06677019346265
contemp_al_base_routes_uncertainty_rewire_embedded,8,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.1891923758458964
contemp_al_base_routes_uncertainty_rewire_embedded,8,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-44.92754949375437
contemp_al_base_routes_uncertainty_rewire_embedded,8,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10654892116923584
contemp_al_base_routes_uncertainty_rewire_embedded,8,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10654892116923584
contemp_al_base_routes_uncertainty_rewire_embedded,9,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.011919242033119785
contemp_al_base_routes_uncertainty_rewire_embedded,9,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-48.9904452340952
contemp_al_base_routes_uncertainty_rewire_embedded,9,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-48.97852599206202
contemp_al_base_routes_uncertainty_rewire_embedded,9,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-48.97852599206202
contemp_al_base_routes_uncertainty_rewire_embedded,9,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",1.7588738296927755
contemp_al_base_routes_uncertainty_rewire_embedded,9,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-48.42990393480084
contemp_al_base_routes_uncertainty_rewire_embedded,9,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.08821519620650949
contemp_al_base_routes_uncertainty_rewire_embedded,9,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.08821519620650949
contemp_al_base_routes_uncertainty_rewire_embedded,10,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.012241031861718087
