scenario,route,case,bg_db,method,score,solver,tech_shape,n_activities,n_products,error
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",-2.434336964344544,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",-3.360101311057588,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-55.60216598644389,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-11.652302510530669,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.007308155752593911,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.0014217438468934326,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-45.184708655619055,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-46.55848453680548,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",0.036215429575934044,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.8369473977776589,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-0.8970287567045443,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-8.692179898295634e-06,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.07087770628599807,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.08420917717361616,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.08951848985262766,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-0.20656673511098983,standard,"(107090, 107090)",107090,107090,
