scenario,route,case,bg_db,method_0,method_1,method_2,method,score,solver,tech_shape,n_activities,n_products,error
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ozone depletion,ozone depletion potential (ODPinfinite),"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-8.678291892404853e-06,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",particulate matter formation,particulate matter formation potential (PMFP),"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.07086313202509671,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: human health,photochemical oxidant formation potential: humans (HOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.0841897096221734,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: terrestrial ecosystems,photochemical oxidant formation potential: ecosystems (EOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.08949775186501559,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",water use,water consumption potential (WCP),"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-0.205185581444548,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP100),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-39.9785073011536,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",acidification: terrestrial,terrestrial acidification potential (TAP),"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.19133681672904304,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP1000),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-41.183148129308684,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",-2.4343369643445443,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: marine,marine ecotoxicity potential (METP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",-3.3601013110575884,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: terrestrial,terrestrial ecotoxicity potential (TETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-55.6021659864439,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)","energy resources: non-renewable, fossil",fossil fuel potential (FFP),"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-11.652302510530667,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: freshwater,freshwater eutrophication potential (FEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.007308155752593911,standard,"(107090, 107090)",107090,107090,
